GRADUATE;GENDER;COLLEGE;SALARY;DEGREE;GRADDATE
1;Mezczyzna;Inzynieria;28900;Licencjat;Jesien 89
2;Mezczyzna;Inzynieria;28000;Licencjat;Jesien 89
3;Mezczyzna;Rolnictwo;27500;Licencjat;Jesien 89
4;Mezczyzna;Inzynieria;30300;Licencjat;Jesien 89
5;Mezczyzna;Rolnictwo;18000;Licencjat;Jesien 89
6;Kobieta;Inzynieria;31700;Licencjat;Jesien 89
7;Mezczyzna;Budownictwo;26000;Licencjat;Jesien 89
8;Mezczyzna;Inzynieria;25000;Licencjat;Jesien 89
9;Kobieta;Rolnictwo;20000;Licencjat;Jesien 89
10;Mezczyzna;Rolnictwo;18000;Licencjat;Jesien 89
11;Mezczyzna;Administracja;23000;Licencjat;Jesien 89
12;Mezczyzna;Administracja;27600;Licencjat;Jesien 89
13;Mezczyzna;Inzynieria;32700;Licencjat;Jesien 89
14;Kobieta;Rolnictwo;21500;Licencjat;Jesien 89
15;Mezczyzna;Rolnictwo;25000;Licencjat;Jesien 89
16;Kobieta;Administracja;18000;Licencjat;Jesien 89
17;Mezczyzna;Inzynieria;38400;Licencjat;Jesien 89
18;Kobieta;Rolnictwo;26500;Licencjat;Jesien 89
19;Kobieta;Rolnictwo;26500;Licencjat;Jesien 89
20;Kobieta;Rolnictwo;31000;Licencjat;Jesien 89
21;Mezczyzna;Inzynieria;29000;Licencjat;Jesien 89
22;Mezczyzna;Inzynieria;32000;Licencjat;Jesien 89
23;Mezczyzna;Inzynieria;33500;Licencjat;Jesien 89
24;Mezczyzna;Inzynieria;27000;Licencjat;Jesien 89
25;Kobieta;Rolnictwo;29000;Licencjat;Jesien 89
26;Mezczyzna;Administracja;19000;Licencjat;Jesien 89
27;Kobieta;Sztuki piekne;20900;Licencjat;Jesien 89
28;Kobieta;Rolnictwo;29000;Licencjat;Jesien 89
29;Kobieta;Rolnictwo;35300;Licencjat;Jesien 89
30;Kobieta;Rolnictwo;24200;Licencjat;Jesien 89
31;Mezczyzna;Budownictwo;41000;Licencjat;Jesien 89
32;Mezczyzna;Inzynieria;36300;Licencjat;Jesien 89
