status pozyczki,kwota kredytu,wiek,plec,rodzaj zrodla dochodu,miesieczny dochod netto,ktore rolowanie,okres w jakim pobieral dochod,okres w jakim bedzie pobieral dochod,opoznienie splaty
splacona_cz,800.0,62,kobieta,13,3700.0,3,25,48,0
splacona_cz,300.0,63,kobieta,13,1100.0,0,103,48,0
splacona_cz,400.0,65,mężczyzna,16,1473.04,0,164,48,0
splacona_cz,350.0,78,mężczyzna,13,1519.0,0,253,48,0
splacona_cz,200.0,37,kobieta,12,599.03,2,18,18,2
splacona_cz,200.0,56,kobieta,98,980.0,2,9,48,0
splacona_cz,200.0,74,kobieta,13,1026.0,3,246,48,2
splacona_cz,218.32,61,kobieta,13,975.0,3,26,48,3
splacona_cz,393.99,59,mężczyzna,11,2947.0,3,52,48,0
splacona,694.0,38,kobieta,11,1900.0,3,207,48,12
splacona_cz,300.0,72,kobieta,13,2100.0,0,159,48,0
splacona_cz,800.0,35,mężczyzna,12,1500.0,0,32,35,4
splacona,300.0,66,mężczyzna,16,1151.0,0,360,48,0
splacona_cz,277.34,39,kobieta,11,1770.0,3,86,48,0
splacona_cz,700.0,61,kobieta,13,1977.0,1,54,48,3
splacona_cz,200.0,63,mężczyzna,13,1287.66,2,95,48,0
splacona_cz,300.0,46,kobieta,11,900.0,3,92,48,0
splacona_cz,300.0,73,mężczyzna,13,960.0,3,139,48,1
windykacja,300.0,27,mężczyzna,12,1800.0,0,34,48,4578
splacona,200.0,58,kobieta,13,1083.23,1,96,48,0
splacona_cz,800.0,55,kobieta,13,3440.0,3,50,48,1
splacona,427.09,43,mężczyzna,98,3178.0,3,200,48,11
splacona_cz,400.0,71,mężczyzna,13,1772.53,0,279,48,0
splacona_cz,200.0,68,kobieta,13,803.86,3,157,48,0
splacona_cz,300.0,60,kobieta,13,1026.0,3,54,48,23
splacona,297.69,63,kobieta,13,1014.0,1,182,48,11
splacona,400.0,63,mężczyzna,13,1193.65,2,8,48,0
splacona_cz,285.97,38,kobieta,98,1200.0,3,45,48,0
splacona_cz,328.32,50,kobieta,12,1000.0,3,31,34,0
splacona_cz,328.0,60,mężczyzna,12,1000.0,3,11,14,0
splacona_cz,200.0,54,kobieta,11,1400.0,3,116,48,0
windykacja,200.0,18,mężczyzna,12,1286.0,0,1,2,4578
splacona_cz,600.0,29,mężczyzna,12,1300.0,3,26,41,4
splacona_cz,300.0,54,mężczyzna,17,798.8,3,148,48,4
splacona_cz,300.0,63,kobieta,13,917.0,1,75,48,2
splacona,377.69,40,kobieta,11,1087.0,2,237,48,18
splacona_cz,500.0,38,mężczyzna,11,2470.0,0,65,48,3
splacona,200.0,63,mężczyzna,13,1538.0,3,100,48,8
splacona_cz,300.0,39,mężczyzna,11,1300.0,3,44,48,0
splacona_cz,200.0,60,kobieta,13,1635.0,3,119,48,1
splacona_cz,300.0,42,kobieta,99,2290.55,0,17,20,0
splacona,200.0,79,kobieta,13,1167.94,0,368,48,0
splacona_cz,400.0,63,kobieta,13,1233.0,2,122,48,0
splacona,500.0,64,mężczyzna,13,1530.0,0,34,48,0
splacona_cz,400.0,62,mężczyzna,16,1313.41,3,27,48,0
splacona,300.0,59,mężczyzna,13,3900.0,0,113,48,1
splacona,521.49,62,kobieta,13,1525.46,3,35,48,2
splacona_cz,200.0,62,mężczyzna,13,1162.0,3,220,48,0
windykacja,250.0,62,mężczyzna,99,685.0,3,4,4,4576
splacona_cz,500.0,70,kobieta,13,1200.0,3,118,48,1
splacona_cz,200.0,58,kobieta,16,634.0,2,50,48,0
splacona_cz,800.0,55,kobieta,16,2300.0,4,62,48,0
splacona_cz,300.0,39,kobieta,12,1027.0,3,8,48,3
splacona,262.81,61,kobieta,13,5100.0,3,27,48,0
splacona_cz,400.0,54,kobieta,11,2800.0,3,59,48,0
splacona_cz,500.0,45,kobieta,11,3000.0,3,92,48,3
splacona_cz,500.0,62,kobieta,13,714.0,4,221,48,1
splacona_cz,600.0,68,kobieta,13,2120.0,3,118,48,0
splacona_cz,400.0,65,kobieta,13,1013.74,3,112,48,0
splacona,200.0,61,kobieta,13,984.0,2,10,48,1
splacona,400.0,60,kobieta,13,1425.0,1,78,48,0
splacona_cz,200.0,67,kobieta,13,720.19,1,92,48,4
splacona_cz,281.29,55,kobieta,12,1350.0,3,21,24,1
splacona_cz,500.0,73,kobieta,13,951.0,3,161,48,4
splacona,300.0,31,mężczyzna,98,2000.0,0,13,48,0
splacona_cz,400.0,58,kobieta,11,1500.0,2,84,48,0
splacona,700.0,33,kobieta,11,2200.0,0,36,48,0
splacona_cz,200.0,73,kobieta,13,866.46,0,194,48,0
splacona,473.0,33,kobieta,11,1400.0,0,100,48,0
splacona,300.0,33,mężczyzna,11,2100.0,0,63,48,67
splacona,700.0,28,mężczyzna,12,1800.0,3,10,10,7
splacona_cz,300.0,55,kobieta,12,1009.34,2,28,48,0
splacona_cz,300.0,49,mężczyzna,12,1042.0,0,4,4,1
splacona_cz,200.0,66,kobieta,13,1428.55,3,136,48,4
splacona_cz,300.0,70,kobieta,13,1000.0,0,63,48,0
splacona_cz,400.0,40,kobieta,12,660.0,3,11,38,2
splacona_cz,200.0,75,kobieta,13,616.0,3,245,48,6
splacona_cz,496.83,31,kobieta,11,1600.0,3,13,48,4
splacona_cz,300.0,65,mężczyzna,13,1611.0,1,140,48,0
splacona_cz,367.31,61,kobieta,13,1684.0,3,19,48,3
splacona,200.0,58,kobieta,13,1500.0,3,45,48,3
splacona_cz,200.0,53,kobieta,16,1740.0,0,113,48,1
splacona_cz,400.0,47,kobieta,11,3170.0,3,284,48,0
splacona_cz,700.0,65,kobieta,13,930.0,4,130,48,0
splacona_cz,426.66,47,mężczyzna,12,1574.45,2,30,35,0
splacona_cz,500.0,72,kobieta,13,640.0,0,138,48,1
splacona_cz,400.0,62,kobieta,13,1474.55,2,64,48,0
splacona_cz,600.0,47,kobieta,12,830.46,2,44,48,4
splacona_cz,357.31,40,mężczyzna,11,1261.98,3,35,48,0
splacona_cz,265.58,62,kobieta,13,1189.0,3,69,48,0
splacona_cz,350.0,61,mężczyzna,16,837.0,2,230,48,0
splacona_cz,900.0,58,kobieta,17,684.0,3,189,48,0
splacona_cz,200.0,75,kobieta,13,965.0,3,244,48,1
splacona_cz,200.0,57,kobieta,16,703.0,3,25,48,8
splacona,200.0,19,mężczyzna,99,750.0,3,3,5,0
splacona_cz,600.0,54,kobieta,12,1675.0,3,8,11,0
splacona_cz,400.0,54,kobieta,16,1045.6,4,11,48,0
splacona_cz,400.0,66,kobieta,13,1137.19,3,95,48,0
splacona_cz,300.0,35,kobieta,12,1200.0,3,8,14,0
splacona_cz,200.0,46,kobieta,12,990.34,2,55,48,2
splacona_cz,327.0,52,kobieta,11,2065.98,3,178,48,1
splacona,400.0,38,kobieta,11,800.51,0,19,48,11
splacona_cz,400.0,57,kobieta,13,1817.24,2,17,48,1
splacona_cz,300.0,77,kobieta,13,1239.0,3,269,48,0
splacona_cz,300.0,25,mężczyzna,12,1400.0,2,11,32,1
splacona,200.0,57,mężczyzna,16,763.38,3,210,48,46
splacona_cz,300.0,61,kobieta,13,997.0,3,78,48,2
splacona,515.96,58,kobieta,13,1801.41,0,37,48,9
windykacja,241.15,54,mężczyzna,12,1030.0,3,8,24,4571
splacona_cz,300.0,33,mężczyzna,11,1800.0,3,164,48,1
splacona,300.0,23,mężczyzna,11,1400.0,0,24,48,0
splacona,300.0,45,mężczyzna,11,2100.0,2,49,48,11
splacona_cz,500.0,60,kobieta,13,1212.0,3,53,48,1
splacona,700.0,75,mężczyzna,13,2098.0,3,196,48,211
splacona_cz,400.0,47,mężczyzna,12,600.0,4,8,27,0
splacona,200.0,49,mężczyzna,11,1400.0,3,13,48,0
splacona_cz,662.81,52,mężczyzna,11,3200.0,3,188,48,0
splacona_cz,500.0,60,kobieta,13,1000.0,3,67,48,0
splacona_cz,200.0,72,kobieta,13,730.0,2,560,48,1
splacona_cz,200.0,65,kobieta,13,802.83,3,200,48,0
splacona,369.53,72,kobieta,13,3541.9,1,126,48,24
splacona_cz,600.0,32,kobieta,11,1290.0,3,18,48,2
splacona_cz,300.0,60,mężczyzna,11,3000.0,4,211,48,2
splacona,400.0,43,mężczyzna,11,2284.23,1,299,48,2
splacona_cz,200.0,69,kobieta,16,959.6,3,114,48,0
splacona_cz,300.0,57,kobieta,11,1680.0,3,384,48,2
splacona,500.0,61,mężczyzna,11,1250.0,0,64,48,16
splacona_cz,800.0,60,mężczyzna,11,1000.0,3,62,48,3
splacona_cz,600.0,47,kobieta,11,1700.0,3,88,48,6
splacona_cz,409.15,65,kobieta,16,892.0,2,200,48,0
splacona_cz,294.37,52,kobieta,12,1050.0,2,33,36,0
splacona_cz,300.0,62,kobieta,13,1130.0,3,102,48,0
splacona_cz,300.4,56,kobieta,11,1172.2,3,36,48,0
splacona,600.0,41,kobieta,98,5000.0,2,83,48,5
splacona_cz,300.0,54,mężczyzna,11,1700.0,3,38,48,1
splacona_cz,300.0,57,kobieta,13,611.0,2,138,48,1
splacona_cz,500.0,53,mężczyzna,11,1320.0,3,341,48,0
splacona_cz,426.61,49,kobieta,11,2470.0,4,353,48,0
splacona_cz,200.0,57,mężczyzna,13,12220.0,2,70,48,4
splacona_cz,400.0,53,mężczyzna,11,4000.0,4,9,48,0
splacona_cz,300.0,64,kobieta,16,1132.0,0,96,48,1
splacona_cz,200.0,20,mężczyzna,17,985.0,4,12,13,0
splacona,717.02,64,mężczyzna,13,2010.0,2,137,48,0
splacona_cz,600.0,49,kobieta,11,2800.0,3,318,48,1
splacona_cz,500.0,70,kobieta,13,729.03,4,256,48,0
