Classifier,Folds,Repeats,Confusion Matrix,Mean Accuracy,Mean TPrate,Mean TNrate,Mean GMean,Mean AUC
ZeroRule,5,1,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4977
JRip,5,1,"[[1322.   40.]
 [ 156.   63.]]",87.6028,0.2877,0.9706,0.3321,0.6406
J48,5,1,"[[1344.   18.]
 [ 172.   47.]]",87.9823,0.2146,0.9868,0.2857,0.7976
SMO,5,1,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
MultilayerPerceptron,5,1,"[[1332.   30.]
 [ 167.   52.]]",87.5395,0.2374,0.978,0.2921,0.8158
NaiveBayes,5,1,"[[1314.   48.]
 [ 147.   72.]]",87.666,0.3288,0.9648,0.3622,0.8247
ZeroRule,5,3,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4977
JRip,5,3,"[[1320.6667   41.3333]
 [ 152.       67.    ]]",87.7715,0.3059,0.9697,0.3496,0.6397
J48,5,3,"[[1345.3333   16.6667]
 [ 174.3333   44.6667]]",87.919,0.204,0.9878,0.2746,0.7944
SMO,5,3,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
MultilayerPerceptron,5,3,"[[1333.   29.]
 [ 167.   52.]]",87.6028,0.2374,0.9787,0.2937,0.8099
NaiveBayes,5,3,"[[1317.   45.]
 [ 149.   70.]]",87.7293,0.3196,0.967,0.3579,0.8252
ZeroRule,5,5,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4977
JRip,5,5,"[[1321.8   40.2]
 [ 155.2   63.8]]",87.6407,0.2913,0.9705,0.3355,0.6306
J48,5,5,"[[1345.8   16.2]
 [ 173.8   45.2]]",87.9823,0.2064,0.9881,0.2786,0.7907
SMO,5,5,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
MultilayerPerceptron,5,5,"[[1333.8   28.2]
 [ 168.6   50.4]]",87.5522,0.2301,0.9793,0.2863,0.8074
NaiveBayes,5,5,"[[1316.    46. ]
 [ 148.6   70.4]]",87.6913,0.3215,0.9662,0.3581,0.8236
ZeroRule,10,1,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4974
JRip,10,1,"[[1320.   42.]
 [ 150.   69.]]",87.8558,0.3151,0.9692,0.3584,0.631
J48,10,1,"[[1346.   16.]
 [ 174.   45.]]",87.9823,0.2055,0.9883,0.2778,0.7819
SMO,10,1,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
MultilayerPerceptron,10,1,"[[1329.   33.]
 [ 162.   57.]]",87.666,0.2603,0.9758,0.3135,0.813
NaiveBayes,10,1,"[[1321.   41.]
 [ 151.   68.]]",87.8558,0.3105,0.9699,0.3553,0.8216
ZeroRule,10,3,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4974
JRip,10,3,"[[1320.       42.    ]
 [ 151.6667   67.3333]]",87.7504,0.3075,0.9692,0.3502,0.6253
J48,10,3,"[[1344.       18.    ]
 [ 172.6667   46.3333]]",87.9401,0.2116,0.9868,0.2819,0.7851
SMO,10,3,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
MultilayerPerceptron,10,3,"[[1327.6667   34.3333]
 [ 165.       54.    ]]",87.3919,0.2466,0.9748,0.2952,0.8109
NaiveBayes,10,3,"[[1316.3333   45.6667]
 [ 150.       69.    ]]",87.6239,0.3151,0.9665,0.3519,0.8227
ZeroRule,10,5,"[[1362.    0.]
 [ 219.    0.]]",86.148,0.0,1.0,0.0,0.4974
JRip,10,5,"[[1320.4   41.6]
 [ 152.2   66.8]]",87.7419,0.305,0.9695,0.3483,0.6251
J48,10,5,"[[1343.8   18.2]
 [ 173.2   45.8]]",87.8937,0.2091,0.9866,0.2785,0.7853
SMO,10,5,"[[1358.    4.]
 [ 202.   17.]]",86.9703,0.0776,0.9971,0.1203,0.5373
