@relation output

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja,windykacja_sp}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {kobieta,mężczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,800,62,kobieta,13,3700,3,25,48,0
splacona_cz,300,63,kobieta,13,1100,0,103,48,0
splacona_cz,400,65,mężczyzna,16,1473.04,0,164,48,0
splacona_cz,350,78,mężczyzna,13,1519,0,253,48,0
splacona_cz,200,37,kobieta,12,599.03,2,18,18,2
splacona_cz,200,56,kobieta,98,980,2,9,48,0
splacona_cz,200,74,kobieta,13,1026,3,246,48,2
splacona_cz,218.32,61,kobieta,13,975,3,26,48,3
splacona_cz,393.99,59,mężczyzna,11,2947,3,52,48,0
odmowa,1000,26,mężczyzna,11,3200,0,3,48,0
splacona,694,38,kobieta,11,1900,3,207,48,12
splacona_cz,300,72,kobieta,13,2100,0,159,48,0
splacona_cz,800,35,mężczyzna,12,1500,0,32,35,4
splacona,300,66,mężczyzna,16,1151,0,360,48,0
splacona_cz,277.34,39,kobieta,11,1770,3,86,48,0
splacona_cz,700,61,kobieta,13,1977,1,54,48,3
splacona_cz,200,63,mężczyzna,13,1287.66,2,95,48,0
splacona_cz,300,46,kobieta,11,900,3,92,48,0
odmowa,500,56,kobieta,11,2251.79,0,254,48,0
splacona_cz,300,73,mężczyzna,13,960,3,139,48,1
odmowa,400,75,kobieta,13,1413,0,164,48,0
windykacja,300,27,mężczyzna,12,1800,0,34,48,4578
splacona,200,58,kobieta,13,1083.23,1,96,48,0
splacona_cz,800,55,kobieta,13,3440,3,50,48,1
splacona,427.09,43,mężczyzna,98,3178,3,200,48,11
splacona_cz,400,71,mężczyzna,13,1772.53,0,279,48,0
splacona_cz,200,68,kobieta,13,803.86,3,157,48,0
splacona_cz,300,60,kobieta,13,1026,3,54,48,23
splacona,297.69,63,kobieta,13,1014,1,182,48,11
splacona,400,63,mężczyzna,13,1193.65,2,8,48,0
splacona_cz,285.97,38,kobieta,98,1200,3,45,48,0
splacona_cz,328.32,50,kobieta,12,1000,3,31,34,0
splacona_cz,328,60,mężczyzna,12,1000,3,11,14,0
splacona_cz,200,54,kobieta,11,1400,3,116,48,0
windykacja,200,18,mężczyzna,12,1286,0,1,2,4578
splacona_cz,600,29,mężczyzna,12,1300,3,26,41,4
splacona_cz,300,54,mężczyzna,17,798.8,3,148,48,4
splacona_cz,300,63,kobieta,13,917,1,75,48,2
splacona,377.69,40,kobieta,11,1087,2,237,48,18
splacona_cz,500,38,mężczyzna,11,2470,0,65,48,3
splacona,200,63,mężczyzna,13,1538,3,100,48,8
splacona_cz,300,39,mężczyzna,11,1300,3,44,48,0
splacona_cz,200,60,kobieta,13,1635,3,119,48,1
splacona_cz,300,42,kobieta,99,2290.55,0,17,20,0
odmowa,600,41,mężczyzna,11,1386,0,16,48,0
splacona,200,79,kobieta,13,1167.94,0,368,48,0
splacona_cz,400,63,kobieta,13,1233,2,122,48,0
splacona,500,64,mężczyzna,13,1530,0,34,48,0
odmowa,800,31,mężczyzna,11,2983,0,87,48,0
splacona_cz,400,62,mężczyzna,16,1313.41,3,27,48,0
splacona,300,59,mężczyzna,13,3900,0,113,48,1
splacona,521.49,62,kobieta,13,1525.46,3,35,48,2
splacona_cz,200,62,mężczyzna,13,1162,3,220,48,0
windykacja,250,62,mężczyzna,99,685,3,4,4,4576
splacona_cz,500,70,kobieta,13,1200,3,118,48,1
splacona_cz,200,58,kobieta,16,634,2,50,48,0
splacona_cz,800,55,kobieta,16,2300,4,62,48,0
splacona_cz,300,39,kobieta,12,1027,3,8,48,3
splacona,262.81,61,kobieta,13,5100,3,27,48,0
splacona_cz,400,54,kobieta,11,2800,3,59,48,0
splacona_cz,500,45,kobieta,11,3000,3,92,48,3
splacona_cz,500,62,kobieta,13,714,4,221,48,1
splacona_cz,1100,42,mężczyzna,11,2875.71,3,277,48,6
splacona_cz,600,68,kobieta,13,2120,3,118,48,0
splacona_cz,400,65,kobieta,13,1013.74,3,112,48,0
splacona,200,61,kobieta,13,984,2,10,48,1
splacona,400,60,kobieta,13,1425,1,78,48,0
splacona_cz,200,67,kobieta,13,720.19,1,92,48,4
splacona_cz,281.29,55,kobieta,12,1350,3,21,24,1
splacona_cz,500,73,kobieta,13,951,3,161,48,4
splacona,300,31,mężczyzna,98,2000,0,13,48,0
splacona_cz,400,58,kobieta,11,1500,2,84,48,0
splacona,700,33,kobieta,11,2200,0,36,48,0
splacona_cz,200,73,kobieta,13,866.46,0,194,48,0
splacona,473,33,kobieta,11,1400,0,100,48,0
odmowa,300,58,kobieta,13,1313,0,36,48,0
odmowa,300,23,kobieta,16,540,0,13,48,0
splacona,300,33,mężczyzna,11,2100,0,63,48,67
splacona,700,28,mężczyzna,12,1800,3,10,10,7
splacona_cz,300,55,kobieta,12,1009.34,2,28,48,0
splacona_cz,300,49,mężczyzna,12,1042,0,4,4,1
odmowa,300,41,mężczyzna,11,979.34,0,188,48,0
splacona_cz,200,66,kobieta,13,1428.55,3,136,48,4
splacona_cz,300,70,kobieta,13,1000,0,63,48,0
splacona_cz,400,40,kobieta,12,660,3,11,38,2
splacona_cz,200,75,kobieta,13,616,3,245,48,6
splacona_cz,496.83,31,kobieta,11,1600,3,13,48,4
splacona_cz,300,65,mężczyzna,13,1611,1,140,48,0
splacona_cz,367.31,61,kobieta,13,1684,3,19,48,3
splacona,200,58,kobieta,13,1500,3,45,48,3
odmowa,200,43,mężczyzna,13,974,0,82,48,0
splacona_cz,200,53,kobieta,16,1740,0,113,48,1
odmowa,500,46,kobieta,11,1037,0,39,48,0
splacona_cz,400,47,kobieta,11,3170,3,284,48,0
splacona_cz,700,65,kobieta,13,930,4,130,48,0
splacona_cz,426.66,47,mężczyzna,12,1574.45,2,30,35,0
splacona_cz,500,72,kobieta,13,640,0,138,48,1
splacona_cz,400,62,kobieta,13,1474.55,2,64,48,0
splacona_cz,600,47,kobieta,12,830.46,2,44,48,4
splacona_cz,357.31,40,mężczyzna,11,1261.98,3,35,48,0
splacona_cz,265.58,62,kobieta,13,1189,3,69,48,0
splacona_cz,350,61,mężczyzna,16,837,2,230,48,0
splacona_cz,900,58,kobieta,17,684,3,189,48,0
splacona_cz,200,75,kobieta,13,965,3,244,48,1
splacona_cz,200,57,kobieta,16,703,3,25,48,8
splacona,200,19,mężczyzna,99,750,3,3,5,0
splacona_cz,600,54,kobieta,12,1675,3,8,11,0
splacona_cz,400,54,kobieta,16,1045.6,4,11,48,0
splacona_cz,400,66,kobieta,13,1137.19,3,95,48,0
splacona_cz,300,35,kobieta,12,1200,3,8,14,0
splacona_cz,200,46,kobieta,12,990.34,2,55,48,2
splacona_cz,327,52,kobieta,11,2065.98,3,178,48,1
splacona,400,38,kobieta,11,800.51,0,19,48,11
splacona_cz,1000,47,kobieta,11,5800,3,53,48,0
splacona_cz,400,57,kobieta,13,1817.24,2,17,48,1
splacona_cz,300,77,kobieta,13,1239,3,269,48,0
splacona_cz,300,25,mężczyzna,12,1400,2,11,32,1
splacona,200,57,mężczyzna,16,763.38,3,210,48,46
splacona_cz,300,61,kobieta,13,997,3,78,48,2
splacona,515.96,58,kobieta,13,1801.41,0,37,48,9
windykacja,241.15,54,mężczyzna,12,1030,3,8,24,4571
splacona_cz,1000,57,mężczyzna,13,3600,2,85,48,1
splacona_cz,300,33,mężczyzna,11,1800,3,164,48,1
splacona,300,23,mężczyzna,11,1400,0,24,48,0
splacona,300,45,mężczyzna,11,2100,2,49,48,11
splacona_cz,500,60,kobieta,13,1212,3,53,48,1
splacona,700,75,mężczyzna,13,2098,3,196,48,211
splacona_cz,400,47,mężczyzna,12,600,4,8,27,0
splacona,200,49,mężczyzna,11,1400,3,13,48,0
splacona_cz,662.81,52,mężczyzna,11,3200,3,188,48,0
splacona_cz,500,60,kobieta,13,1000,3,67,48,0
splacona_cz,200,72,kobieta,13,730,2,560,48,1
splacona_cz,200,65,kobieta,13,802.83,3,200,48,0
splacona,369.53,72,kobieta,13,3541.9,1,126,48,24
splacona_cz,600,32,kobieta,11,1290,3,18,48,2
splacona_cz,300,60,mężczyzna,11,3000,4,211,48,2
splacona,400,43,mężczyzna,11,2284.23,1,299,48,2
splacona_cz,200,69,kobieta,16,959.6,3,114,48,0
splacona_cz,300,57,kobieta,11,1680,3,384,48,2
splacona,500,61,mężczyzna,11,1250,0,64,48,16
odmowa,200,60,kobieta,16,425,0,160,48,0
splacona_cz,800,60,mężczyzna,11,1000,3,62,48,3
splacona_cz,600,47,kobieta,11,1700,3,88,48,6
splacona_cz,409.15,65,kobieta,16,892,2,200,48,0
splacona_cz,294.37,52,kobieta,12,1050,2,33,36,0
splacona_cz,300,62,kobieta,13,1130,3,102,48,0
splacona_cz,300.4,56,kobieta,11,1172.2,3,36,48,0
splacona,600,41,kobieta,98,5000,2,83,48,5
splacona_cz,300,54,mężczyzna,11,1700,3,38,48,1
splacona_cz,300,57,kobieta,13,611,2,138,48,1
splacona_cz,500,53,mężczyzna,11,1320,3,341,48,0
splacona_cz,426.61,49,kobieta,11,2470,4,353,48,0
splacona_cz,200,57,mężczyzna,13,12220,2,70,48,4
splacona_cz,400,53,mężczyzna,11,4000,4,9,48,0
odmowa,200,69,kobieta,13,686.16,0,76,48,0
splacona_cz,300,64,kobieta,16,1132,0,96,48,1
splacona_cz,200,20,mężczyzna,17,985,4,12,13,0
splacona,717.02,64,mężczyzna,13,2010,2,137,48,0
splacona_cz,600,49,kobieta,11,2800,3,318,48,1
