@relation 'output-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lmerged-R2,3,4-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz_splacona:dobry,merged:zly-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {kobieta,mezczyzna}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
800,'\'(55.2-67.6]\'',kobieta,13,3700,3,25,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1100,0,103,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,16,1473.04,0,164,48,dobry
350,'\'(67.6-inf)\'',mezczyzna,13,1519,0,253,48,dobry
200,'\'(30.4-42.8]\'',kobieta,12,599.03,2,18,18,dobry
200,'\'(55.2-67.6]\'',kobieta,98,980,2,9,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,1026,3,246,48,dobry
218.32,'\'(55.2-67.6]\'',kobieta,13,975,3,26,48,dobry
393.99,'\'(55.2-67.6]\'',mezczyzna,11,2947,3,52,48,dobry
1000,'\'(-inf-30.4]\'',mezczyzna,11,3200,0,3,48,zly
694,'\'(30.4-42.8]\'',kobieta,11,1900,3,207,48,dobry
300,'\'(67.6-inf)\'',kobieta,13,2100,0,159,48,dobry
800,'\'(30.4-42.8]\'',mezczyzna,12,1500,0,32,35,dobry
300,'\'(55.2-67.6]\'',mezczyzna,16,1151,0,360,48,dobry
277.34,'\'(30.4-42.8]\'',kobieta,11,1770,3,86,48,dobry
700,'\'(55.2-67.6]\'',kobieta,13,1977,1,54,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1287.66,2,95,48,dobry
300,'\'(42.8-55.2]\'',kobieta,11,900,3,92,48,dobry
500,'\'(55.2-67.6]\'',kobieta,11,2251.79,0,254,48,zly
300,'\'(67.6-inf)\'',mezczyzna,13,960,3,139,48,dobry
400,'\'(67.6-inf)\'',kobieta,13,1413,0,164,48,zly
300,'\'(-inf-30.4]\'',mezczyzna,12,1800,0,34,48,zly
200,'\'(55.2-67.6]\'',kobieta,13,1083.23,1,96,48,dobry
800,'\'(42.8-55.2]\'',kobieta,13,3440,3,50,48,dobry
427.09,'\'(42.8-55.2]\'',mezczyzna,98,3178,3,200,48,dobry
400,'\'(67.6-inf)\'',mezczyzna,13,1772.53,0,279,48,dobry
200,'\'(67.6-inf)\'',kobieta,13,803.86,3,157,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,1026,3,54,48,dobry
297.69,'\'(55.2-67.6]\'',kobieta,13,1014,1,182,48,dobry
400,'\'(55.2-67.6]\'',mezczyzna,13,1193.65,2,8,48,dobry
285.97,'\'(30.4-42.8]\'',kobieta,98,1200,3,45,48,dobry
328.32,'\'(42.8-55.2]\'',kobieta,12,1000,3,31,34,dobry
328,'\'(55.2-67.6]\'',mezczyzna,12,1000,3,11,14,dobry
200,'\'(42.8-55.2]\'',kobieta,11,1400,3,116,48,dobry
200,'\'(-inf-30.4]\'',mezczyzna,12,1286,0,1,2,zly
600,'\'(-inf-30.4]\'',mezczyzna,12,1300,3,26,41,dobry
300,'\'(42.8-55.2]\'',mezczyzna,17,798.8,3,148,48,dobry
300,'\'(55.2-67.6]\'',kobieta,13,917,1,75,48,dobry
377.69,'\'(30.4-42.8]\'',kobieta,11,1087,2,237,48,dobry
500,'\'(30.4-42.8]\'',mezczyzna,11,2470,0,65,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1538,3,100,48,dobry
300,'\'(30.4-42.8]\'',mezczyzna,11,1300,3,44,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,1635,3,119,48,dobry
300,'\'(30.4-42.8]\'',kobieta,99,2290.55,0,17,20,dobry
600,'\'(30.4-42.8]\'',mezczyzna,11,1386,0,16,48,zly
200,'\'(67.6-inf)\'',kobieta,13,1167.94,0,368,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1233,2,122,48,dobry
500,'\'(55.2-67.6]\'',mezczyzna,13,1530,0,34,48,dobry
800,'\'(30.4-42.8]\'',mezczyzna,11,2983,0,87,48,zly
400,'\'(55.2-67.6]\'',mezczyzna,16,1313.41,3,27,48,dobry
300,'\'(55.2-67.6]\'',mezczyzna,13,3900,0,113,48,dobry
521.49,'\'(55.2-67.6]\'',kobieta,13,1525.46,3,35,48,dobry
200,'\'(55.2-67.6]\'',mezczyzna,13,1162,3,220,48,dobry
250,'\'(55.2-67.6]\'',mezczyzna,99,685,3,4,4,zly
500,'\'(67.6-inf)\'',kobieta,13,1200,3,118,48,dobry
200,'\'(55.2-67.6]\'',kobieta,16,634,2,50,48,dobry
800,'\'(42.8-55.2]\'',kobieta,16,2300,4,62,48,dobry
300,'\'(30.4-42.8]\'',kobieta,12,1027,3,8,48,dobry
262.81,'\'(55.2-67.6]\'',kobieta,13,5100,3,27,48,dobry
400,'\'(42.8-55.2]\'',kobieta,11,2800,3,59,48,dobry
500,'\'(42.8-55.2]\'',kobieta,11,3000,3,92,48,dobry
500,'\'(55.2-67.6]\'',kobieta,13,714,4,221,48,dobry
1100,'\'(30.4-42.8]\'',mezczyzna,11,2875.71,3,277,48,dobry
600,'\'(67.6-inf)\'',kobieta,13,2120,3,118,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1013.74,3,112,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,984,2,10,48,dobry
400,'\'(55.2-67.6]\'',kobieta,13,1425,1,78,48,dobry
200,'\'(55.2-67.6]\'',kobieta,13,720.19,1,92,48,dobry
