Okres 1 - 12/2008 - 12/2013,,,Okres 2 - 01/2014 - 01/2019,,,Okres 3 - 02/2019 - 02/2024,,,,,
Month,Python,,Month,Python,,Month,Python,,,,
01/12/08,437,,01/01/14,9818,,01/02/19,17498,,,H0:,Nie ma znaczacych róznic w popularnosci jezyka programowania Python w podanych okresach czasowych
01/01/09,631,,01/02/14,9876,,01/03/19,19863,,,H1:,Sa znaczace roznice w popularnosci jezyka programowania Python w podanych okresach czasowych
01/02/09,630,,01/03/14,11397,,01/04/19,19799,,,,
01/03/09,764,,01/04/14,10716,,01/05/19,18874,,,Przez popularnosc rozumie sie ilosc pytan do danego jezyka na platformie stackoverflow,
01/04/09,770,,01/05/14,9210,,01/06/19,17190,,,,
01/05/09,995,,01/06/14,8884,,01/07/19,19721,,,,
01/06/09,1042,,01/07/14,9890,,01/08/19,17995,,,,
01/07/09,1157,,01/08/14,9093,,01/09/19,16846,,,,
01/08/09,1131,,01/09/14,8754,,01/10/19,20405,,,,
01/09/09,1169,,01/10/14,9554,,01/11/19,20547,,,,
01/10/09,1417,,01/11/14,9549,,01/12/19,18066,,,,
01/11/09,1552,,01/12/14,9018,,01/01/20,19923,,,,
01/12/09,1585,,01/01/15,9663,,01/02/20,19990,,,,
01/01/10,1946,,01/02/15,10184,,01/03/20,22607,,,,
01/02/10,1861,,01/03/15,11574,,01/04/20,27570,,,,
01/03/10,2072,,01/04/15,11411,,01/05/20,29378,,,,
01/04/10,1806,,01/05/15,11199,,01/06/20,27048,,,,
01/05/10,2008,,01/06/15,11793,,01/07/20,26240,,,,
01/06/10,2202,,01/07/15,12306,,01/08/20,22977,,,,
01/07/10,2583,,01/08/15,11214,,01/09/20,21696,,,,
01/08/10,2491,,01/09/15,10956,,01/10/20,22757,,,,
01/09/10,2248,,01/10/15,12463,,01/11/20,22120,,,,
01/10/10,2670,,01/11/15,12277,,01/12/20,22131,,,,
01/11/10,2603,,01/12/15,11633,,01/01/21,22825,,,,
01/12/10,2472,,01/01/16,12336,,01/02/21,21367,,,,
01/01/11,2896,,01/02/16,13229,,01/03/21,23774,,,,
01/02/11,3007,,01/03/16,14050,,01/04/21,22357,,,,
01/03/11,3741,,01/04/16,13630,,01/05/21,22344,,,,
01/04/11,3330,,01/05/16,13089,,01/06/21,20843,,,,
01/05/11,3510,,01/06/16,12896,,01/07/21,20536,,,,
01/06/11,3460,,01/07/16,12804,,01/08/21,19784,,,,
01/07/11,3649,,01/08/16,12894,,01/09/21,18971,,,,
01/08/11,3814,,01/09/16,12327,,01/10/21,19747,,,,
01/09/11,3507,,01/10/16,13486,,01/11/21,20001,,,,
01/10/11,3600,,01/11/16,14160,,01/12/21,18991,,,,
01/11/11,3854,,01/12/16,13023,,01/01/22,19656,,,,
01/12/11,3603,,01/01/17,14244,,01/02/22,19221,,,,
01/01/12,4179,,01/02/17,14754,,01/03/22,20717,,,,
01/02/12,4471,,01/03/17,17108,,01/04/22,19835,,,,
01/03/12,5006,,01/04/17,15622,,01/05/22,19399,,,,
01/04/12,4893,,01/05/17,16156,,01/06/22,18769,,,,
01/05/12,5067,,01/06/17,15983,,01/07/22,19035,,,,
01/06/12,5259,,01/07/17,16884,,01/08/22,18671,,,,
01/07/12,5718,,01/08/17,16460,,01/09/22,17074,,,,
01/08/12,5855,,01/09/17,15431,,01/10/22,18527,,,,
01/09/12,5247,,01/10/17,16921,,01/11/22,18878,,,,
01/10/12,6123,,01/11/17,16939,,01/12/22,15882,,,,
01/11/12,6388,,01/12/17,14904,,01/01/23,15045,,,,
01/12/12,5741,,01/01/18,16212,,01/02/23,13453,,,,
01/01/13,6560,,01/02/18,16283,,01/03/23,15425,,,,
01/02/13,6723,,01/03/18,17879,,01/04/23,12383,,,,
01/03/13,7600,,01/04/18,16949,,01/05/23,11766,,,,
01/04/13,7910,,01/05/18,17546,,01/06/23,11217,,,,
01/05/13,7789,,01/06/18,16778,,01/07/23,11084,,,,
01/06/13,7579,,01/07/18,17918,,01/08/23,10212,,,,
01/07/13,8594,,01/08/18,17720,,01/09/23,8616,,,,
01/08/13,7933,,01/09/18,16001,,01/10/23,9031,,,,
01/09/13,7947,,01/10/18,18123,,01/11/23,8482,,,,
01/10/13,9462,,01/11/18,17988,,01/12/23,7028,,,,
01/11/13,9464,,01/12/18,15704,,01/01/24,8024,,,,
01/12/13,8432,,01/01/19,16920,,01/02/24,7793,,,,
